A&P,Administrative and personnel
A&P,analysis and production
A-1,"Director of manpower, personnel, and services (Air Force)"
A2,antiacess
A2C2,Army airspace command and control
A-2,Intelligence staff officer (Air Force)
A-3,Operations directorate (COMAFFOR staff)
A-4,Director of logistics (Air Force)
A-5,Plans directorate (COMAFFOR staff)
A-6,Communications staff officer (Air Force)
A-7,Director of installations and mission support (Air Force)
AA,Assessment agent
AA, avenue of approach
AA&E,"Arms, ammunition, and exposives"
AAA,Antiaircraft artillery
AAA,arrival and assembly area
AAA, assign alternate area
AABB,American Association of Blood Banks
AABWS,Amphibious assault bulk water system
AAC,Activity address code
AACG,Arrival airfield control group
AADC,Area air defense commander
AADP,Area air defense plan
AAFES,Army and Air Force Exchange Service
AAFIF ,automated air facility information file
AAFS ,amphibious assault fuel system
AAFSF ,amphibious assault fuel supply facility
AAG,aeronautical assignment group
AAGS ,Army air-ground system
AAI ,air-to-air interface
AAM ,air-to-air missile
AAMDC , United States Army Air and Missile Defense Command 
AAOE,arrival and assembly operations element
AAOG,arrival and assembly operations group
AAP ,Allied administrative publication
AAP ,assign alternate parent 
AAR ,after action report
AAR ,after action review
AAR ,air-to-air refueling area 
AAS,amphibious assault ship
AAST,aeromedical evacuation administrative support team
AAT,automatic analog test
AAT,aviation advisory team
AATCC,amphibious air traffic control center
AAU,analog applique unit
AAV,amphibious assault vehicle
AAW,antiair warfare
AB,air base
ABCA,"American, British, Canadian, Australian, and New Zealand"
ABCS,Army Battle Command System
ABD,airbase defense
ABFC,advanced base functional component
ABFDS,aerial bulk fuel delivery system
ABFS,amphibious bulk fuel system
ABGD,air base ground defense
ABIS,Automated Biometric Identification System
ABL,airborne laser
ABLTS,amphibious bulk liquid transfer system
ABM,antiballistic missile
ABN,airborne
ABNCP,Airborne Command Post
ABO,air base operability
ABO,blood typing system
ABP,air battle plan
A/C,aircraft
AC,Active Component
AC,alternating current
AC2,airspace command and control
AC-130,Hercules
ACA,air clearance authority
ACA,airlift clearance authority
ACA,airspace control authority
ACA,airspace coordination area
ACAA,automatic chemical agent alarm
ACAPS,area communications electronics capabilities
ACAT,aeromedical evacuation command augmentation team
ACB,amphibious construction battalion 
ACC,Army Contracting Command 
ACC,Air Combat Command
ACC,area coordination center
ACC,air component commander
ACCE,air component coordination element
ACCON,acoustic condition
ACCS,air command and control system
ACCSA,Allied Communications and Computer Security Agency
ACD, automated cargo documentation 
ACDO,assistant command duty officer
ACE,airborne command element
ACE,air combat element 
ACE,Allied Command Europe
ACE,aviation combat element   
ACEOI,automated communications-electronics operating instructions 
ACF,air contingency force
ACI,Analytical Condition Inspection
ACI,assign call inhibit
ACIC,Army Counterintelligence Center
ACINT,acoustic intelligence 
ACK,acknowledgement
ACL,access control list
ACL,allowable cabin load
ACLANT,Allied Command Atlantic
ACLP,affiliated contingency load planning
ACM,advanced conventional munitions
ACM,advanced cruise missile
ACM,air combat maneuver
ACM,air contingency Marine air-ground task force (MAGTF) 
ACM,airspace coordinating measure
ACMREQ,airspace control means request
ACMREQ,airspace coordination measures request 
ACN,assign commercial network
ACO,administrative contracting officer
ACO,airspace control order
ACOA,adaptive course of action
ACOC,area communications operations center
ACOCC,air combat operations command center
ACOS,assistant chief of staff
ACP,access control point
ACP,air commander’s pointer
ACP,airspace control plan 
ACP,Allied communications publication
ACP,assign common pool
ACR,armored cavalry regiment
ACR,assign channel reassignment
ACS,agile combat support
ACS,air-capable ship
ACS,airspace control system
ACS,auxiliary crane ship
ACSA,acquisition and cross-servicing agreement
ACSA,Allied Communications Security Agency
